V1	V2	V3
tomium_R0010	41.0137119124383	-0.571773538046211	-7.77820740567085
tomium_R0011	39.9165606479934	-0.314228086006771	-8.25521163887582
tomium_R0012	38.8324567371025	0.100046011197003	-8.67021197777253
tomium_R0013	37.8686442184797	0.724506236804283	-9.06914470953667
tomium_R0014	36.7823312365603	1.18530766313377	-9.39999232771188
tomium_R0015	35.6045235424501	1.44625042962689	-9.64480063575545
tomium_R0016	34.3966550696095	1.60929667306358	-9.82815369235559
tomium_R0017	33.175044800314	1.70624327273488	-9.96221701703357
tomium_R0018	31.9469425160082	1.76429322432367	-10.0584662266514
tomium_R0019	30.7171285099545	1.82135843227013	-10.1306152475414
tomium_R0020	29.4859041531185	1.86660087539005	-10.1842806442298
tomium_R0021	28.2538392453223	1.87875378386424	-10.2346417983137
tomium_R0022	27.0218106448085	1.85378460495616	-10.2803903703899
tomium_R0023	25.7914109328007	1.78972099144105	-10.3207657175102
tomium_R0024	24.5633840133942	1.68588502084355	-10.3554052575608
tomium_R0025	23.3403513816468	1.53954434966456	-10.3832202814583
tomium_R0026	22.1227877892195	1.34912394351967	-10.4035566875255
tomium_R0027	20.912480889221	1.11788810418813	-10.4170826231748
tomium_R0028	19.6990751170815	0.903253454890834	-10.4412470210227
tomium_R0029	18.4839643049354	0.698618762515663	-10.4740098567926
tomium_R0030	17.2677723979654	0.50165521543082	-10.5146195014339
tomium_R0031	16.0511196267205	0.308393821602591	-10.56182765516
tomium_R0032	14.8337987858133	0.123966967277041	-10.6171274932297
tomium_R0033	13.6174050921951	-0.0641170255892014	-10.6766533798771
tomium_R0034	12.4004938514453	-0.25130070075229	-10.7418358268732
tomium_R0035	11.1838086332234	-0.438085323620108	-10.8124114096892
tomium_R0036	9.96746597652721	-0.625202627529457	-10.8881066762226
tomium_R0037	8.75459760215708	-0.823811929235024	-10.9808997068836
tomium_R0038	7.54846166316494	-1.05274170859556	-11.095893456604
tomium_R0039	6.34090931259926	-1.27492369650195	-11.209486018088
tomium_R0040	5.13159830934667	-1.48653292300624	-11.3228394797026
tomium_R0041	3.92256885471969	-1.70331868743355	-11.4309789077302
tomium_R0042	2.71034849363192	-1.90023652217711	-11.5417935470903
tomium_R0043	1.494143132635	-2.06686041278308	-11.658438250856
tomium_R0044	0.274506820038	-2.20176737342738	-11.7812172128136
tomium_R0045	-0.947965284174231	-2.29786666438859	-11.9121138211229
tomium_R0046	-2.17201634181216	-2.34799838641082	-12.0530583545642
tomium_R0047	-3.39264957246993	-2.23460195477142	-12.1269058167392
tomium_R0048	-4.51471711779603	-1.7674661394975	-11.9757896227627
tomium_R0049	-5.39967097245	-1.00354675760689	-11.607256395715
tomium_R0050	-5.95898506243579	-0.148499595981069	-11.0955011848352
tomium_prox_R	-6.11402470030716	0.162360350582227	-10.5633459592809
tomium_prox_L	-6.11402470030716	0.162360350582229	10.5633459592809
tomium_L0001	47.1541742564997	-2.36956788659409	0.108710456672647
tomium_L0002	47.1719621195996	-2.12010728739703	1.31635924160704
tomium_L0003	47.0018115371568	-1.89713621512022	2.46179689546475
tomium_L0004	46.598811736796	-1.66500704889143	3.55210205970182
tomium_L0005	45.9858145382447	-1.42036139659289	4.54627274275355
tomium_L0006	45.2016136363153	-1.13252196865002	5.43174305272214
tomium_L0007	44.3026024441617	-0.842891051707179	6.17475211061039
tomium_L0008	43.1891220533812	-0.682463272708636	6.65553924508091
tomium_L0009	42.0953810583196	-0.631506912598263	7.20279542150085
tomium_L0010	41.0137119124384	-0.571773538046234	7.77820740567085
tomium_L0011	39.9165606479934	-0.31422808600679	8.25521163887582
tomium_L0012	38.8324567371025	0.100046011196982	8.67021197777253
tomium_L0013	37.8686442184797	0.724506236804261	9.06914470953667
tomium_L0014	36.7823312365604	1.18530766313375	9.39999232771188
tomium_L0015	35.6045235424501	1.44625042962687	9.64480063575545
tomium_L0016	34.3966550696096	1.60929667306356	9.8281536923556
tomium_L0017	33.175044800314	1.70624327273486	9.96221701703357
tomium_L0018	31.9469425160082	1.76429322432365	10.0584662266514
tomium_L0019	30.7171285099546	1.82135843227011	10.1306152475414
tomium_L0020	29.4859041531186	1.86660087539003	10.1842806442298
tomium_L0021	28.2538392453223	1.87875378386422	10.2346417983137
tomium_L0022	27.0218106448086	1.85378460495614	10.2803903703899
tomium_L0023	25.7914109328007	1.78972099144103	10.3207657175102
tomium_L0024	24.5633840133942	1.68588502084353	10.3554052575608
tomium_L0025	23.3403513816468	1.53954434966455	10.3832202814583
tomium_L0026	22.1227877892195	1.34912394351966	10.4035566875255
tomium_L0027	20.912480889221	1.11788810418812	10.4170826231748
tomium_L0028	19.6990751170815	0.903253454890822	10.4412470210227
tomium_L0029	18.4839643049354	0.698618762515646	10.4740098567926
tomium_L0030	17.2677723979655	0.501655215430806	10.5146195014339
tomium_L0031	16.0511196267205	0.308393821602578	10.56182765516
tomium_L0032	14.8337987858133	0.123966967277026	10.6171274932297
tomium_L0033	13.6174050921951	-0.0641170255892152	10.6766533798771
tomium_L0034	12.4004938514453	-0.2513007007523	10.7418358268732
tomium_L0035	11.1838086332234	-0.438085323620119	10.8124114096892
tomium_L0036	9.96746597652723	-0.625202627529469	10.8881066762226
tomium_L0037	8.75459760215709	-0.823811929235036	10.9808997068836
tomium_L0038	7.54846166316496	-1.05274170859557	11.095893456604
tomium_L0039	6.34090931259928	-1.27492369650196	11.209486018088
