basioccipital_proc_ant	3562	1248
basipterygoid_proc_med_L	3397	1271
basipterygoid_proc_med_R	3392	1309
basipterygoid_proc_post_L	3461	1239
basipterygoid_proc_post_R	3471	1330
foramen_magnum_sup	4059	1357
jugal_upperbeak_L	2579	1148
jugal_upperbeak_R	2588	1501
mand_condyle_quadrate_lat_L	3522	881
mand_condyle_quadrate_lat_R	3592	1467
mand_condyle_quadrate_med_L	3503	972
mand_condyle_quadrate_med_R	3550	1390
occipital_condyle	3953	1230
opisthotic_process_L	3855	932
opisthotic_process_R	3924	1359
postorbital_process_dist_inf_L	3338	1053
postorbital_process_dist_inf_R	3424	1699
pterygoid_palatine_L	3281	1229
pterygoid_palatine_R	3292	1328
quadrate_jugal_L	3658	888
quadrate_jugal_R	3721	1492
quadrate_pterygoid_L	3503	1029
quadrate_pterygoid_R	3550	1401
tomium_prox_L	2695	1089
tomium_prox_R	2704	1490
upperbeak_palatine_L	2596	1188
upperbeak_palatine_R	2619	1474
upperbeak_tip	1422	1258
tomium_R0001	1422	1258
tomium_R0002	1421.8547082951	1258.97876046776
tomium_R0003	1421.71775999912	1259.94621893703
tomium_R0004	1421.58893455718	1260.90251856422
tomium_R0005	1421.46801634867	1261.84780047448
tomium_R0006	1421.35479458355	1262.78220379392
tomium_R0007	1421.24906320091	1263.7058656813
tomium_R0008	1421.15062076942	1264.61892135919
tomium_R0009	1421.05927039001	1265.52150414452
tomium_R0010	1420.96670210167	1266.50289761647
tomium_R0011	1420.88215852127	1267.47291692842
tomium_R0012	1420.80541813112	1268.43170687044
tomium_R0013	1420.73626444001	1269.37941016686
tomium_R0014	1420.67448587697	1270.31616750917
tomium_R0015	1420.61987568727	1271.24211758846
tomium_R0016	1420.57223183047	1272.15739712718
tomium_R0017	1420.53135688065	1273.06214091042
tomium_R0018	1420.49396552755	1274.04584173273
tomium_R0019	1420.46426195723	1275.01809810302
tomium_R0020	1420.44202374588	1275.97905645395
tomium_R0021	1420.42703359026	1276.92886111727
tomium_R0022	1420.41907919893	1277.86765435754
tomium_R0023	1420.41795318555	1278.79557640518
tomium_R0024	1420.42345296457	1279.71276548899
tomium_R0025	1420.43538064885	1280.6193578681
tomium_R0026	1420.45570688769	1281.60502444353
tomium_R0027	1420.48336507963	1282.57917826189
tomium_R0028	1420.51813195434	1283.54196740697
tomium_R0029	1420.55978945824	1284.49353782589
tomium_R0030	1420.6081246429	1285.43403336353
tomium_R0031	1420.66292955582	1286.36359579631
tomium_R0032	1420.72400113344	1287.28236486546
tomium_R0033	1420.79114109629	1288.19047830963
tomium_R0034	1420.86415584641	1289.08807189697
tomium_R0035	1420.95107752108	1290.06392304725
tomium_R0036	1421.04473875065	1291.02834342852
tomium_R0037	1421.14492072499	1291.9814806264
tomium_R0038	1421.25140983526	1292.92348008843
tomium_R0039	1421.36399756189	1293.85448515859
tomium_R0040	1421.4824803649	1294.77463711131
tomium_R0041	1421.60665957656	1295.68407518479
tomium_R0042	1421.73634129616	1296.58293661379
tomium_R0043	1421.88519751412	1297.56011916594
tomium_R0044	1422.04040421266	1298.52580702604
tomium_R0045	1422.20174189002	1299.48014942603
tomium_R0046	1422.36899634381	1300.4232934233
tomium_R0047	1422.5419585562	1301.35538393596
tomium_R0048	1422.72042458159	1302.27656377752
tomium_R0049	1422.90419543648	1303.18697369105
tomium_R0050	1423.09307699173	1304.08675238261
tomium_R0051	1423.286879867	1304.97603655416
tomium_R0052	1423.48541932739	1305.8549609359
tomium_R0053	1423.70918275809	1306.81044937698
tomium_R0054	1423.93846659951	1307.75467786881
tomium_R0055	1424.17306126244	1308.68779294168
tomium_R0056	1424.41276232583	1309.60993898533
tomium_R0057	1424.65737042398	1310.52125828384
tomium_R0058	1424.90669113603	1311.42189104984
tomium_R0059	1425.16053487781	1312.3119754581
tomium_R0060	1425.41871679592	1313.19164767859
tomium_R0061	1425.68105666398	1314.06104190894
tomium_R0062	1425.97437247773	1315.00613580878
tomium_R0063	1426.2725889097	1315.94005706052
tomium_R0064	1426.57550106156	1316.86295165267
tomium_R0065	1426.8829091862	1317.77496343202
tomium_R0066	1427.19461857453	1318.67623413864
tomium_R0067	1427.51043944454	1319.56690344027
tomium_R0068	1427.83018683277	1320.44710896605
tomium_R0069	1428.15368048796	1321.31698633967
tomium_R0070	1428.48074476701	1322.176669212
tomium_R0071	1428.81120853302	1323.02628929303
tomium_R0072	1429.14490505554	1323.86597638331
tomium_R0073	1429.51569922923	1324.77876954537
tomium_R0074	1429.89038401285	1325.68076476445
tomium_R0075	1430.2687692891	1326.57210325321
tomium_R0076	1430.650669851	1327.45292415084
tomium_R0077	1431.03590529282	1328.32336455696
tomium_R0078	1431.42429990345	1329.1835595649
tomium_R0079	1431.81568256189	1330.03364229443
tomium_R0080	1432.20988663497	1330.87374392387
tomium_R0081	1432.60674987726	1331.70399372164
tomium_R0082	1433.00611433299	1332.52451907729
tomium_R0083	1433.40782624008	1333.33544553192
tomium_R0084	1433.85246700808	1334.21696718801
tomium_R0085	1434.30003175845	1335.0880537616
tomium_R0086	1434.75034458061	1335.94884183884
tomium_R0087	1435.20323424181	1336.79946599854
tomium_R0088	1435.65853408232	1337.64005884502
tomium_R0089	1436.11608191274	1338.47075104032
tomium_R0090	1436.5757199135	1339.29167133595
tomium_R0091	1437.03729453648	1340.10294660396
tomium_R0092	1437.50065640873	1340.90470186752
tomium_R0093	1437.96566023813	1341.69706033101
tomium_R0094	1438.43216472116	1342.48014340944
tomium_R0095	1438.90003245252	1343.25407075749
